fold,model,stage,n,positive_rate,roc_auc,average_precision,brier,log_loss,lift_top_10pct,recall_top_20pct
2,specialist_catboost_calibrated,T2_engaged,1058.0,0.34026465028355385,0.6342168099331422,0.46431581361322427,0.2142198029978726,0.6180362368598882,1.6080712788259959,0.28888888888888886
2,specialist_catboost_calibrated,MACRO,2024.0,0.40880465309738706,0.5750519877907653,0.47684129966404737,0.2358351114446748,0.6635765521788223,1.2868628094144716,0.2347775448404379
2,pooled_catboost_calibrated,T0_cold,484.0,0.4380165289256198,0.4761462957824639,0.4223286429119951,0.24805146635359,0.6893619448817613,0.7920677705044282,0.16981132075471697
2,pooled_catboost_calibrated,T1_first_inquiry,482.0,0.44813278008298757,0.5438248398774714,0.474553452929702,0.262347999266013,0.7220490607188091,1.0018896447467875,0.2175925925925926
2,pooled_catboost_calibrated,T2_engaged,1058.0,0.34026465028355385,0.5932346386501114,0.4084122630208088,0.22308557404975105,0.6394484581246788,1.2753668763102726,0.25
2,pooled_catboost_calibrated,MACRO,2024.0,0.40880465309738706,0.5377352581033489,0.4350981196208353,0.24449501322311798,0.6836198212417498,1.023108097187163,0.21246797111576984
2,validation_selected_hybrid,T0_cold,484.0,0.4380165289256198,0.4772301609322973,0.4246986234417904,0.25115318452745056,0.6959670690171509,0.7454755487100501,0.18396226415094338
2,validation_selected_hybrid,T1_first_inquiry,482.0,0.44813278008298757,0.535923141186299,0.4902002289933346,0.25539471386518525,0.7056114125453176,1.0474300831443688,0.20833333333333334
2,validation_selected_hybrid,T2_engaged,1058.0,0.34026465028355385,0.6342168099331422,0.46431581361322427,0.2142198029978726,0.6180362368598882,1.6080712788259959,0.28888888888888886
2,validation_selected_hybrid,MACRO,2024.0,0.40880465309738706,0.5491233706839128,0.45973822201611636,0.2402559004635028,0.6732049061407855,1.133658970226805,0.22706149545772183
3,multihead_calibrated,T0_cold,484.0,0.4793388429752066,0.5238608374384237,0.5105282846129608,0.25042690150020347,0.6940146580661672,0.9366643209007741,0.21120689655172414
3,multihead_calibrated,T1_first_inquiry,483.0,0.4865424430641822,0.5070006863417982,0.49740992800848116,0.251294588754218,0.6957554448689266,1.1325227963525835,0.22127659574468084
3,multihead_calibrated,T2_engaged,1007.0,0.34756703078450846,0.5906805827353772,0.4285227100105333,0.221370231823765,0.6336191369302253,1.2534087694483733,0.24857142857142858
3,multihead_calibrated,MACRO,1974.0,0.43781610560796574,0.5405140355051997,0.4788203075439918,0.24103057402606218,0.6744630799551063,1.1075319622339104,0.22701830695594452
3,pooled_nn_calibrated,T0_cold,484.0,0.4793388429752066,0.5314381499726327,0.5130475968053825,0.24991389255551466,0.692978609475082,1.1495425756509499,0.21982758620689655
3,pooled_nn_calibrated,T1_first_inquiry,483.0,0.4865424430641822,0.5169354838709678,0.5135593257850803,0.2510976520302159,0.6953585914843105,1.0905775075987842,0.23404255319148937
3,pooled_nn_calibrated,T2_engaged,1007.0,0.34756703078450846,0.5538030006523157,0.3949611064673816,0.22453826221484344,0.6408932717348754,1.167949080622348,0.22285714285714286
